Opponent,Score,W/L,FGPCT,3FGPCT,FTPCT,AST,TO,BLK,STL,PTS
vs Incarnate Word,82-42,W,0.444,0.226,0.655,16,14,8,9,82
vs Northern Kentucky,71-56,W,0.455,0.316,0.882,14,12,3,6,71
at Xavier,58-63,L (OT),0.333,0.24,0.8,8,20,4,8,58
vs Wofford,75-56,W,0.549,0.391,0.714,15,10,2,7,75
vs Morehead State,70-52,W,0.404,0.182,0.87,11,17,4,5,70
vs Butler,52-63,L,0.478,0.182,0.6,8,13,1,9,52
vs Oklahoma,66-77,L,0.44,0.333,0.7,14,15,2,3,66
vs Charleston Southern,60-68,L,0.357,0.154,0.8,10,16,2,5,60
at Temple,64-54,W,0.389,0.276,0.636,10,14,1,8,64
vs Southern Illinois,64-48,W,0.455,0.348,0.667,14,15,3,7,64
vs Illinois,63-56,W,0.426,0.357,0.75,9,19,3,10,63
vs Chicago State,91-33,W,0.532,0.516,0.9,19,12,3,14,91
at Kentucky,59-71,L,0.362,0.333,0.647,7,11,4,8,59
vs Tennessee,59-69,L,0.352,0.36,0.667,14,13,2,6,59
vs Florida,91-75,W,0.615,0.632,0.75,18,11,2,11,91
at Mississippi St.,45-72,L,0.347,0.2,0.6,10,19,3,8,45
at Alabama,74-88,L,0.311,0.25,1,6,13,1,7,74
vs Texas A&M,64-66,L,0.3,0.257,0.962,11,13,4,5,64
at West Virginia,51-74,L,0.283,0.269,0.778,8,16,3,5,51
vs Georgia,72-69,W,0.434,0.435,0.762,11,12,2,7,72
at South Carolina,54-76,L,0.328,0.211,0.8,9,17,3,5,54
at Texas A&M,51-68,L,0.306,0.259,0.778,13,17,5,6,51
vs Arkansas,83-79,W (OT),0.383,0.188,0.773,6,17,2,8,83
at LSU,78-82,L,0.517,0.429,0.538,15,14,5,5,78
vs Auburn,85-73,W,0.549,0.538,0.759,12,9,3,3,85
vs Ole Miss,71-68,W,0.382,0.273,0.852,10,12,6,6,71
